Content,Ready,Level,Type,AP,ID (Hex),Region/Connections,Prerequisites,Gear Req,Dep. Lvl.,Dependents
Explore: Azer Athenaeum,FALSE,92,Cave,Location,00 12 00 8e,,,,,
Explore: Scarred Ingress,FALSE,93,Cave,Location,00 12 00 8f,"Wybel Island, Central Islands",,,,
Explore: Dragon Delta,FALSE,93,Cave,Location,00 12 00 90,,,,,
Explore: Scorched Earth,FALSE,94,Cave,Location,00 12 00 91,Dogun Ritual Site,,,,
Explore: Cryovern Covert,FALSE,94,Cave,Location,00 12 00 92,,,,,
Explore: Azurite Island,FALSE,94,Cave,Location,00 12 00 93,Snail Island,,,,
Explore: Lamprophis Lair,FALSE,95,Cave,Location,00 12 00 94,Dragonling Nests,,,,
Explore: Forgotten Excavation,FALSE,95,Cave,Location,00 12 00 95,Dragonling Nests,,,,
Explore: Sky Shroom,FALSE,95,Cave,Location,00 12 00 96,Jofash Tunnel,,,,
Explore: The Donjon,FALSE,95,Cave,Location,00 12 00 97,Sky Castle,,,,
Explore: Steamworks,FALSE,95,Cave,Location,00 12 00 98,,,,,
Explore: Cave of Doom,FALSE,95,Cave,Location,00 12 00 99,,,,,
Explore: Dragonkin Nest,FALSE,95,Cave,Location,00 12 00 9a,"Freezing Heights, Dragonbone Graveyard",,,,
Explore: Mycolite Mountain,FALSE,96,Cave,Location,00 12 00 9b,Ahmsord,,,,
Explore: Windwalker Temple,FALSE,96,Cave,Location,00 12 00 9c,Angel Refuge,,,,
Explore: Overgrown Rubble,FALSE,96,Cave,Location,00 12 00 9d,Old Coal Mine,,,,
Explore: Ovine Spire,FALSE,96,Cave,Location,00 12 00 9e,Kandon Ridge,,,,
Explore: Angel Falls,FALSE,97,Cave,Location,00 12 00 9f,Temple Island,,,,
Explore: Avo Animation Totem,FALSE,98,Cave,Location,00 12 00 a0,,,,,
Explore: The Gwanari,FALSE,100,Cave,Location,00 12 00 a1,,,,,
Explore: The Place Condensed,FALSE,100,Cave,Location,00 12 00 a2,,,,,
Explore: Spiteful Crossing,FALSE,100,Cave,Location,00 12 00 a3,,,,,
Explore: Loot Symposium,FALSE,100,Cave,Location,00 12 00 a4,,,,,
Explore: Blind Burrow,FALSE,100,Cave,Location,00 12 00 a5,,,,,
Explore: The Place Conglomerated,FALSE,100,Cave,Location,00 12 00 a6,,,,,
Explore: Haze Cave,FALSE,100,Cave,Location,00 12 00 a7,,,,,
Explore: Caged Creatures,FALSE,100,Cave,Location,00 12 00 a8,,,,,
Explore: Aquaculture Aquifer,FALSE,100,Cave,Location,00 12 00 a9,,,,,
Explore: The Place Coalesced,FALSE,100,Cave,Location,00 12 00 aa,,,,,
Explore: Eyeball Gauntlet,FALSE,100,Cave,Location,00 12 00 ab,,,,,
Explore: The Lantern Keeper's Abode,FALSE,100,Cave,Location,00 12 00 ac,,,,,
Explore: Statue Opening,FALSE,100,Cave,Location,00 12 00 ad,,,,,
Explore: Electrifying Outpost,FALSE,104,Cave,Location,00 12 00 ae,Forts in Fall,,,,
Explore: Ancient Arthropods,FALSE,104,Cave,Location,00 12 00 af,"The Frog Bog, Wellspring of Eternity",,,,
Explore: Siltswimmer Den,FALSE,105,Cave,Location,00 12 00 b0,The Frog Bog,,,,
Explore: Auburn Lumbermill,FALSE,107,Cave,Location,00 12 00 b1,The Lumbermill,,,,
Explore: Water Tower,FALSE,109,Cave,Location,00 12 00 b2,Agricultural Sector,,,,
Explore: The Flush,FALSE,110,Cave,Location,00 12 00 b3,Timasca,,,,
Explore: Abandoned Steelworks,FALSE,110,Cave,Location,00 12 00 b4,Residence Sector,,,,
Explore: Weapons Factory,FALSE,111,Cave,Location,00 12 00 b5,Water Processing Sector,,,,
Explore: Freight Interchange,FALSE,112,Cave,Location,00 12 00 b6,Timasca,,,,
Explore: Nesting Place,FALSE,113,Cave,Location,00 12 00 b7,Deforested Ecotone,,,,
Explore: Entozoon Takeover,FALSE,114,Cave,Location,00 12 00 b8,"Aldwell, Fort Hegea",,,,
Explore: Citadel Catacombs,FALSE,115,Cave,Location,00 12 00 b9,Contested District,,,,
Explore: Tericen Stables,FALSE,116,Cave,Location,00 12 00 ba,"Fort Tericen, Feuding Houses",,,,
Explore: Saltpetre Mine,FALSE,117,Cave,Location,00 12 00 bb,Hyloch,,,,
Explore: Estalis Gallery,FALSE,117,Cave,Location,00 12 00 bc,Highlands Gate,,,,
Explore: Krisa Manor,FALSE,118,Cave,Location,00 12 00 bd,"Citadel's Shadow, Fort Tericen",,,,
Explore: Glacier Tunnels,FALSE,119,Cave,Location,00 12 00 be,Frosty Outpost,,,,
Explore: Liftal Castle,FALSE,119,Cave,Location,00 12 00 bf,Citadel's Shadow,,,,
Explore: Aelumia Weaveworks,FALSE,119,Cave,Location,00 12 00 c0,Contested District,,,,
Explore: Theatre Royal,FALSE,119,Cave,Location,00 12 00 c1,University Campus,,,,
Explore: The Barracks,FALSE,119,Cave,Location,00 12 00 c2,Royal Barracks,,,,
Explore: Aelumia Metalmill,FALSE,119,Cave,Location,00 12 00 c3,Contested District,,,,
Explore: Northern Outpost,FALSE,120,Cave,Location,00 12 00 c4,Frosty Outpost,,,,
Explore: Aelumia Chemical Plant,FALSE,120,Cave,Location,00 12 00 c5,Contested District,,,,
Complete: Decrepit Sewers,TRUE,8,Dungeon,Location,00 13 00 01,Katoa Ranch,,,,
Complete: Infested Pit,TRUE,17,Dungeon,Location,00 13 00 02,Webbed Fracture,,,,
Complete: Underworld Crypt,TRUE,23,Dungeon,Location,00 13 00 03,Ancient Nemract,,,,
Complete: Timelost Sanctum,TRUE,27,Dungeon,Location,00 13 00 04,Sanctuary Bridge,,,,
Complete: Sand-Swept Tomb,TRUE,36,Dungeon,Location,00 13 00 05,Accursed Dunes,,,,
Complete: Ice Barrows,TRUE,45,Dungeon,Location,00 13 00 06,Wolves' Den,,,,
Complete: Undergrowth Ruins,TRUE,54,Dungeon,Location,00 13 00 07,Troms Lake,,,,
Complete: Galleon's Graveyard,FALSE,63,Dungeon,Location,00 13 00 08,Lost Atoll,,,,
Complete: Corrupted Decrepit Sewers,FALSE,70,Dungeon,Location,00 13 00 09,The Forgery,,,,
Complete: Corrupted Infested Pit,FALSE,74,Dungeon,Location,00 13 00 10,The Forgery,,,,
Complete: Corrupted Lost Sanctuary,FALSE,78,Dungeon,Location,00 13 00 11,The Forgery,,,,
Complete: Corrupted Underworld Crypt,FALSE,82,Dungeon,Location,00 13 00 12,The Forgery,,,,
Complete: Corrupted Sand-Swept Tomb,FALSE,86,Dungeon,Location,00 13 00 13,The Forgery,,,,
Complete: Fallen Factory,FALSE,90,Dungeon,Location,00 13 00 14,Fallen Factory,,,,
Complete: Corrupted Ice Barrows,FALSE,90,Dungeon,Location,00 13 00 15,The Forgery,,,,
Complete: Corrupted Undergrowth Ruins,FALSE,94,Dungeon,Location,00 13 00 16,The Forgery,,,,
Complete: Corrupted Galleon's Graveyard,FALSE,98,Dungeon,Location,00 13 00 17,The Forgery,,,,
Complete: Eldrich Outlook,FALSE,101,Dungeon,Location,00 13 00 18,Final Step,,,,
Level Up: 2,TRUE,2,Level,Location,00 16 00 02,,,,,
Level Up: 3,TRUE,3,Level,Location,00 16 00 03,,,,,
Level Up: 4,TRUE,4,Level,Location,00 16 00 04,,,,,
Level Up: 5,TRUE,5,Level,Location,00 16 00 05,,,,,
Level Up: 6,TRUE,6,Level,Location,00 16 00 06,,,,,
Level Up: 7,TRUE,7,Level,Location,00 16 00 07,,,,,
Level Up: 8,TRUE,8,Level,Location,00 16 00 08,,,,,
Level Up: 9,TRUE,9,Level,Location,00 16 00 09,,,,,
Level Up: 10,TRUE,10,Level,Location,00 16 00 0a,Detlas,,,,
Level Up: 11,TRUE,11,Level,Location,00 16 00 0b,Detlas,,,,
Level Up: 12,TRUE,12,Level,Location,00 16 00 0c,Detlas,,,,
Level Up: 13,TRUE,13,Level,Location,00 16 00 0d,Detlas,,,,
Level Up: 14,TRUE,14,Level,Location,00 16 00 0e,Detlas,,,,
Level Up: 15,TRUE,15,Level,Location,00 16 00 0f,Detlas,,,,
Level Up: 16,TRUE,16,Level,Location,00 16 00 10,Detlas,,,,
Level Up: 17,TRUE,17,Level,Location,00 16 00 11,Detlas,,,,
Level Up: 18,TRUE,18,Level,Location,00 16 00 12,Detlas,,,,
Level Up: 19,TRUE,19,Level,Location,00 16 00 13,Detlas,,,,
Level Up: 20,TRUE,20,Level,Location,00 16 00 14,Nemract,,,,
Level Up: 21,TRUE,21,Level,Location,00 16 00 15,Nemract,,,,
Level Up: 22,TRUE,22,Level,Location,00 16 00 16,Nemract,,,,
Level Up: 23,TRUE,23,Level,Location,00 16 00 17,Nemract,,,,
Level Up: 24,TRUE,24,Level,Location,00 16 00 18,Nemract,,,,
Level Up: 25,TRUE,25,Level,Location,00 16 00 19,Nemract,,,,
Level Up: 26,TRUE,26,Level,Location,00 16 00 1a,Nemract,,,,
Level Up: 27,TRUE,27,Level,Location,00 16 00 1b,Nemract,,,,
Level Up: 28,TRUE,28,Level,Location,00 16 00 1c,Nemract,,,,
Level Up: 29,TRUE,29,Level,Location,00 16 00 1d,Nemract,,,,
Level Up: 30,TRUE,30,Level,Location,00 16 00 1e,Almuj,,,,
Level Up: 31,TRUE,31,Level,Location,00 16 00 1f,Almuj,,,,
Level Up: 32,TRUE,32,Level,Location,00 16 00 20,Almuj,,,,
Level Up: 33,TRUE,33,Level,Location,00 16 00 21,Almuj,,,,
Level Up: 34,TRUE,34,Level,Location,00 16 00 22,Almuj,,,,
Level Up: 35,TRUE,35,Level,Location,00 16 00 23,Almuj,,,,
Level Up: 36,TRUE,36,Level,Location,00 16 00 24,Almuj,,,,
Level Up: 37,TRUE,37,Level,Location,00 16 00 25,Almuj,,,,
Level Up: 38,TRUE,38,Level,Location,00 16 00 26,Almuj,,,,
Level Up: 39,TRUE,39,Level,Location,00 16 00 27,Almuj,,,,
Level Up: 40,TRUE,40,Level,Location,00 16 00 28,"Nesaak, Llevigar",,,,
Level Up: 41,TRUE,41,Level,Location,00 16 00 29,"Nesaak, Llevigar",,,,
Level Up: 42,TRUE,42,Level,Location,00 16 00 2a,"Nesaak, Llevigar",,,,
Level Up: 43,TRUE,43,Level,Location,00 16 00 2b,"Nesaak, Llevigar",,,,
Level Up: 44,TRUE,44,Level,Location,00 16 00 2c,"Nesaak, Llevigar",,,,
Level Up: 45,TRUE,45,Level,Location,00 16 00 2d,"Nesaak, Llevigar",,,,
Level Up: 46,TRUE,46,Level,Location,00 16 00 2e,"Nesaak, Llevigar",,,,
Level Up: 47,TRUE,47,Level,Location,00 16 00 2f,"Nesaak, Llevigar",,,,
Level Up: 48,TRUE,48,Level,Location,00 16 00 30,"Nesaak, Llevigar",,,,
Level Up: 49,TRUE,49,Level,Location,00 16 00 31,"Nesaak, Llevigar",,,,
Level Up: 50,TRUE,50,Level,Location,00 16 00 32,"Nesaak, Olux",,,,
Level Up: 51,TRUE,51,Level,Location,00 16 00 33,"Nesaak, Olux",,,,
Level Up: 52,TRUE,52,Level,Location,00 16 00 34,"Nesaak, Olux",,,,
Level Up: 53,TRUE,53,Level,Location,00 16 00 35,"Nesaak, Olux",,,,
Level Up: 54,TRUE,54,Level,Location,00 16 00 36,"Nesaak, Olux",,,,
Level Up: 55,TRUE,55,Level,Location,00 16 00 37,"Troms, Olux",,,,
Level Up: 56,TRUE,56,Level,Location,00 16 00 38,"Troms, Olux",,,,
Level Up: 57,TRUE,57,Level,Location,00 16 00 39,"Troms, Olux",,,,
Level Up: 58,TRUE,58,Level,Location,00 16 00 3a,"Troms, Olux",,,,
Level Up: 59,TRUE,59,Level,Location,00 16 00 3b,"Troms, Olux",,,,
Level Up: 60,FALSE,60,Level,Location,00 16 00 3c,,,,,
Level Up: 61,FALSE,61,Level,Location,00 16 00 3d,,,,,
Level Up: 62,FALSE,62,Level,Location,00 16 00 3e,,,,,
Level Up: 63,FALSE,63,Level,Location,00 16 00 3f,,,,,
Level Up: 64,FALSE,64,Level,Location,00 16 00 40,,,,,
Level Up: 65,FALSE,65,Level,Location,00 16 00 41,,,,,
Level Up: 66,FALSE,66,Level,Location,00 16 00 42,,,,,
Level Up: 67,FALSE,67,Level,Location,00 16 00 43,,,,,
Level Up: 68,FALSE,68,Level,Location,00 16 00 44,,,,,
Level Up: 69,FALSE,69,Level,Location,00 16 00 45,,,,,
Level Up: 70,FALSE,70,Level,Location,00 16 00 46,,,,,
Level Up: 71,FALSE,71,Level,Location,00 16 00 47,,,,,
Level Up: 72,FALSE,72,Level,Location,00 16 00 48,,,,,
Level Up: 73,FALSE,73,Level,Location,00 16 00 49,,,,,
Level Up: 74,FALSE,74,Level,Location,00 16 00 4a,,,,,
Level Up: 75,FALSE,75,Level,Location,00 16 00 4b,,,,,
Level Up: 76,FALSE,76,Level,Location,00 16 00 4c,,,,,
Level Up: 77,FALSE,77,Level,Location,00 16 00 4d,,,,,
Level Up: 78,FALSE,78,Level,Location,00 16 00 4e,,,,,
Level Up: 79,FALSE,79,Level,Location,00 16 00 4f,,,,,
Level Up: 80,FALSE,80,Level,Location,00 16 00 50,,,,,
Level Up: 81,FALSE,81,Level,Location,00 16 00 51,,,,,
Level Up: 82,FALSE,82,Level,Location,00 16 00 52,,,,,
Level Up: 83,FALSE,83,Level,Location,00 16 00 53,,,,,
Level Up: 84,FALSE,84,Level,Location,00 16 00 54,,,,,
Level Up: 85,FALSE,85,Level,Location,00 16 00 55,,,,,
Level Up: 86,FALSE,86,Level,Location,00 16 00 56,,,,,
Level Up: 87,FALSE,87,Level,Location,00 16 00 57,,,,,
Level Up: 88,FALSE,88,Level,Location,00 16 00 58,,,,,
Level Up: 89,FALSE,89,Level,Location,00 16 00 59,,,,,
Level Up: 90,FALSE,90,Level,Location,00 16 00 5a,,,,,
Level Up: 91,FALSE,91,Level,Location,00 16 00 5b,,,,,
Level Up: 92,FALSE,92,Level,Location,00 16 00 5c,,,,,
